condition,subgroup,additive_r,gears_r,additive_mse,gears_mse,non_additivity,improvement
CBL+PTPN9,combo_seen0,0.9945707,0.9825791716575623,0.0247167833149433,0.0787854939699173,0.3900904357433319,-0.011991528342437774
MAP2K6+SPI1,combo_seen1,0.92720556,0.9241695404052734,0.1183186918497085,0.10183115303516388,1.480475902557373,-0.0030360195947265467
UBASH3B+PTPN12,combo_seen2,0.98353,0.9713895916938782,0.0641636699438095,0.12291493266820908,0.3720174431800842,-0.012140408306121842
KLF1+FOXA1,combo_seen2,0.9881067,0.943649172782898,0.0362021401524543,0.22105610370635986,0.5416960120201111,-0.044457527217102055
TBX3+TBX2,combo_seen2,0.9922852,0.9240134954452515,0.0583927817642688,0.4094664454460144,0.3737296760082245,-0.06827170455474851
DUSP9+MAPK1,combo_seen1,0.9678074,0.8971735239028931,0.0773899108171463,0.18406495451927185,1.2990342378616333,-0.07063387609710692
CEBPE+KLF1,combo_seen2,0.96295094,0.9107961654663086,0.0725206583738327,0.3846987783908844,1.2798091173171997,-0.05215477453369144
UBASH3B+OSR2,combo_seen1,0.9944966,0.9160252213478088,0.021367959678173,0.216201514005661,1.1549112796783447,-0.07847137865219111
UBASH3B+ZBTB25,combo_seen2,0.98814887,0.9738683700561523,0.04324422031641,0.06306426227092743,0.3623881042003631,-0.014280499943847613
DUSP9+ETS2,combo_seen1,0.98603654,0.9267693758010864,0.0494963005185127,0.31542259454727173,0.5988577604293823,-0.059267164198913536
ZNF318+FOXL2,combo_seen1,0.99597704,0.9890038967132568,0.022261893376708,0.06644551455974579,0.5105370879173279,-0.006973143286743144
UBASH3B+PTPN9,combo_seen1,0.9908095,0.9891393184661865,0.0530586764216423,0.05265912413597107,0.3942742049694061,-0.0016701815338134862
JUN+CEBPA,combo_seen1,0.9761922,0.9557856321334839,0.019652159884572,0.06725223362445831,0.352013349533081,-0.020406567866516068
MAPK1+PRTG,combo_seen1,0.9699628,0.8635523915290833,0.0542498156428337,0.22637033462524414,0.8992387056350708,-0.10641040847091676
MAP2K3+IKZF3,combo_seen2,0.99110746,0.9774191975593567,0.0561086907982826,0.17865751683712006,0.3424638211727142,-0.013688262440643362
KLF1+COL2A1,combo_seen1,0.9852456,0.8821108341217041,0.0489255860447883,0.5361028909683228,0.5668554902076721,-0.10313476587829595
PTPN12+OSR2,combo_seen1,0.9839661,0.7536938190460205,0.0130381779745221,0.12517517805099487,1.1972237825393677,-0.23027228095397945
ETS2+CEBPE,combo_seen2,0.9834046,0.9006304740905762,0.0751442611217498,0.20564062893390656,0.4846841394901275,-0.08277412590942379
POU3F2+FOXL2,combo_seen1,0.99603015,0.9898558259010315,0.0233194902539253,0.06664383411407471,0.4217481017112732,-0.006174324098968453
DUSP9+PRTG,combo_seen0,0.9911928,0.9160581231117249,0.1443889141082763,0.36143141984939575,0.3859855532646179,-0.07513467688827513
BCL2L11+TGFBR2,combo_seen1,0.9945018,0.9754053354263306,0.0086871990934014,0.04202643409371376,0.6542189121246338,-0.019096464573669425
AHR+KLF1,combo_seen2,0.9902506,0.8793323040008545,0.0439861938357353,0.33670690655708313,0.5450996160507202,-0.11091829599914549
